source,dest
https://experienceleague.adobe.com/docs/launch/using/extensions-ref/adobe-extension/product-string-extension/adobe-analytics-product-string-release-notes.html,https://experienceleague.adobe.com/docs/experience-platform/tags/extensions/adobe/product-string/release-notes.html
https://experienceleague.adobe.com/docs/launch/using/extensions-ref/adobe-extension/product-string-extension/(*),https://experienceleague.adobe.com/docs/experience-platform/tags/extensions/adobe/product-string/
https://experienceleague.adobe.com/docs/launch/using/extensions-ref/adobe-extension/analytics-extension/adobe-analytics-release-notes.html,https://experienceleague.adobe.com/docs/experience-platform/tags/extensions/adobe/analytics/release-notes.html
https://experienceleague.adobe.com/docs/launch/using/extensions-ref/adobe-extension/analytics-extension/(*),https://experienceleague.adobe.com/docs/experience-platform/tags/extensions/adobe/analytics/
https://experienceleague.adobe.com/docs/launch/using/extensions-ref/adobe-extension/(*),https://experienceleague.adobe.com/docs/experience-platform/tags/extensions/adobe/
https://experienceleague.adobe.com/docs/launch/using/extensions-ref/(*),https://experienceleague.adobe.com/docs/experience-platform/tags/extensions/
https://experienceleague.adobe.com/docs/launch/using/server-side-info/server-side-getting-started.html,https://experienceleague.adobe.com/docs/experience-platform/tags/event-forwarding/getting-started.html
https://experienceleague.adobe.com/docs/launch/using/server-side-info/server-side-overview.html,https://experienceleague.adobe.com/docs/experience-platform/tags/event-forwarding/overview.html
https://experienceleague.adobe.com/docs/launch/using/server-side-info/(*),https://experienceleague.adobe.com/docs/experience-platform/tags/event-forwarding/
https://experienceleague.adobe.com/docs/launch/using/client-side-info/content-security-policy-csp.html,https://experienceleague.adobe.com/docs/experience-platform/tags/client-side/content-security-policy.html
https://experienceleague.adobe.com/docs/launch/using/client-side-info/deploy-javascript-tags-to-opt-in-to-launch.html,https://experienceleague.adobe.com/docs/experience-platform/tags/client-side/consent.html
https://experienceleague.adobe.com/docs/launch/using/client-side-info/launch-object-reference.html,https://experienceleague.adobe.com/docs/experience-platform/tags/client-side/satellite-object.html
https://experienceleague.adobe.com/docs/launch/using/client-side-info/(*),https://experienceleague.adobe.com/docs/experience-platform/tags/client-side/
https://experienceleague.adobe.com/docs/launch/using/(*),https://experienceleague.adobe.com/docs/experience-platform/tags/
https://experienceleague.adobe.com/docs/launch/using/extension-dev/modules/edge/flow.html,https://experienceleague.adobe.com/docs/launch/using/extension-dev/edge/flow.html
https://experienceleague.adobe.com/docs/launch/using/extension-dev/modules/edge/format.html,https://experienceleague.adobe.com/docs/launch/using/extension-dev/edge/format.html
https://experienceleague.adobe.com/docs/launch/using/extension-dev/modules/edge/views.html,https://experienceleague.adobe.com/docs/launch/using/extension-dev/web/views.html
https://experienceleague.adobe.com/docs/launch/using/extension-dev/modules/edge/context.html,https://experienceleague.adobe.com/docs/launch/using/extension-dev/edge/context.html
https://experienceleague.adobe.com/docs/launch/using/extension-dev/modules/edge/condition-types.html,https://experienceleague.adobe.com/docs/launch/using/extension-dev/edge/condition-types.html
https://experienceleague.adobe.com/docs/launch/using/extension-dev/modules/edge/action-types.html,https://experienceleague.adobe.com/docs/launch/using/extension-dev/edge/action-types.html
https://experienceleague.adobe.com/docs/launch/using/extension-dev/modules/edge/data-element-types.html,https://experienceleague.adobe.com/docs/launch/using/extension-dev/edge/data-element-types.html
https://experienceleague.adobe.com/docs/launch/using/extension-dev/modules/web/flow.html,https://experienceleague.adobe.com/docs/launch/using/extension-dev/web/flow.html
https://experienceleague.adobe.com/docs/launch/using/extension-dev/modules/web/format.html,https://experienceleague.adobe.com/docs/launch/using/extension-dev/web/format.html
https://experienceleague.adobe.com/docs/launch/using/extension-dev/modules/web/views.html,https://experienceleague.adobe.com/docs/launch/using/extension-dev/web/views.html
https://experienceleague.adobe.com/docs/launch/using/extension-dev/modules/web/event-types.html,https://experienceleague.adobe.com/docs/launch/using/extension-dev/web/event-types.html
https://experienceleague.adobe.com/docs/launch/using/extension-dev/modules/web/condition-types.html,https://experienceleague.adobe.com/docs/launch/using/extension-dev/web/condition-types.html
